Team,PTS,REB,AST,3PM,STL,BLK,TO,FG%,FT%
Atlanta Hawks,22.72,8.51,4.99,2.71,1.77,0.80,2.44,48.12,82.64
Brooklyn Nets,22.28,8.94,5.28,2.71,1.42,1.40,2.11,46.38,79.34
Boston Celtics,20.71,9.14,4.88,2.65,1.28,0.68,2.20,43.84,75.65
Charlotte Hornets,23.34,8.94,5.77,2.91,1.34,0.74,2.54,49.40,77.36
Chicago Bulls,22.25,7.82,5.28,3.02,1.57,0.77,2.37,47.06,76.67
Cleveland Cavaliers,23.80,8.42,5.94,3.25,1.57,0.88,3.02,51.77,82.87
Dallas Mavericks,21.25,8.75,5.01,2.67,1.83,0.67,2.64,44.15,75.13
Denver Nuggets,20.80,8.77,5.34,2.14,1.31,1.00,2.31,43.14,78.63
Detroit Pistons,21.85,9.34,5.34,2.22,1.62,1.31,2.94,47.54,78.53
Golden State Warriors,21.65,7.62,5.31,2.71,1.45,0.94,2.62,44.53,80.00
Houston Rockets,23.73,8.92,4.95,2.67,1.40,1.12,3.04,51.17,87.85
Indiana Pacers,22.60,8.94,4.57,1.71,1.02,0.97,2.51,47.38,78.21
Los Angeles Clippers,21.02,8.37,4.91,2.40,1.80,0.94,2.28,42.79,77.46
Los Angeles Lakers,22.91,8.31,5.34,2.91,1.94,1.05,2.91,48.72,77.23
Memphis Grizzlies,22.02,8.60,5.31,2.94,1.57,1.57,3.05,47.73,78.81
Miami Heat,20.22,8.24,4.99,2.08,1.55,0.61,2.58,43.64,82.27
Milwaukee Bucks,22.25,8.89,4.94,2.37,1.68,0.85,1.94,45.76,81.27
Minnesota Timberwolves,20.94,8.71,5.22,2.45,1.65,0.54,3.08,44.54,77.78
New Orleans Pelicans,21.74,8.68,5.60,2.97,1.22,1.08,2.94,48.09,76.81
New York Knicks,22.38,8.36,5.26,2.61,1.06,0.95,2.78,50.34,75.63
Oklahoma City Thunder,23.08,8.68,5.48,3.11,1.62,1.17,2.80,46.59,81.14
Orlando Magic,21.11,7.85,4.88,2.25,1.74,0.88,3.11,48.03,83.12
Philadelphia 76ers,21.39,8.54,5.29,2.55,1.35,0.99,3.13,45.33,80.96
Phoenix Suns,21.20,8.54,5.45,2.34,1.62,0.91,2.57,46.67,85.09
Portland Trail Blazers,22.51,8.40,5.57,2.42,2.17,1.20,2.22,48.70,78.63
Sacramento Kings,20.51,8.31,4.60,2.40,1.34,0.85,2.40,44.20,73.78
San Antonio Spurs,21.69,8.61,5.22,2.21,2.02,0.76,2.43,45.08,87.46
Toronto Raptors,26.11,8.85,6.37,3.65,1.65,1.71,2.57,52.13,72.75
Utah Jazz,23.85,8.91,6.42,3.02,1.91,1.40,2.71,50.67,74.06
Washington Wizards,23.45,9.80,5.28,2.20,1.80,1.14,2.48,46.74,78.79
